Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Myanmar,Myanmar,1983,BiocapTotGHA,1345876.98835116,0,14839220.586145,15418322.8590525,37514073.1843265,306004.300962648,69423497.9188378,3A,MM
Myanmar,Myanmar,1984,EFConsTotGHA,1392774.32317044,1992508.88854726,14178031.989699,826274.699617273,7887784.23503792,314317.512292163,26591691.6483641,3A,MM
Myanmar,Myanmar,1984,BiocapTotGHA,1392774.32317044,0,15749097.9475434,15331226.0630917,37436993.8649488,304275.708663232,70214367.9074176,3A,MM
Myanmar,Myanmar,1985,EFConsTotGHA,1466285.50772633,2155111.14188099,14072759.8301317,864064.052176274,8228157.02480484,314444.298566904,27100821.855287,3A,MM
Myanmar,Myanmar,1985,BiocapTotGHA,1466285.50772633,0,15556941.6630376,15260960.2430824,37431146.3178064,303720.163277742,70019053.8949304,3A,MM
Myanmar,Myanmar,1986,EFConsTotGHA,1506032.27553371,2242526.7526118,14130971.9526156,908047.221956971,8316086.26920369,311051.812094301,27414716.284016,3A,MM
Myanmar,Myanmar,1986,BiocapTotGHA,1506032.27553371,0,15695885.4350304,15207652.5562221,37317486.0387812,302659.245806018,70029715.5513733,3A,MM
Myanmar,Myanmar,1987,EFConsTotGHA,1470585.57615351,1754978.51617449,14780226.746362,901293.121236055,8268591.26534106,309927.7389657,27485602.9642328,3A,MM
Myanmar,Myanmar,1987,BiocapTotGHA,1470585.57615351,0,15923854.765604,15189809.5256938,37548778.898371,302304.137866603,70435332.903689,3A,MM
Myanmar,Myanmar,1988,EFConsTotGHA,1449057.13192789,1779106.29338722,14621774.5273037,930569.008011441,8328461.52130929,312551.411119339,27421519.8930589,3A,MM
Myanmar,Myanmar,1988,BiocapTotGHA,1449057.13192789,0,14885934.97784,15159267.3225432,37609226.5820722,301696.293879069,69405182.3082624,3A,MM
Myanmar,Myanmar,1989,EFConsTotGHA,1375758.65183749,1769378.04331384,13338919.4140356,963905.348349849,8439161.52290778,306922.36239138,26194045.342836,3A,MM
Myanmar,Myanmar,1989,BiocapTotGHA,1375758.65183749,0,14170783.0214347,15139581.2265886,37681360.3514048,300472.172781715,68667955.4240474,3A,MM
Myanmar,Myanmar,1990,EFConsTotGHA,1389921.326194,1629163.58613919,12522531.9942985,977292.23465849,13992499.5159629,309363.341598846,30820771.9988518,3A,MM
Myanmar,Myanmar,1990,BiocapTotGHA,1389921.326194,0,14234742.5528976,15054211.445815,37618806.7278523,297122.577217855,68594804.6299768,3A,MM
Myanmar,Myanmar,1991,EFConsTotGHA,1350228.66877688,1601733.329589,12125092.0905607,969091.356778258,14106201.8340388,329559.629445982,30481906.9091897,3A,MM
Myanmar,Myanmar,1991,BiocapTotGHA,1350228.66877688,0,13948331.9470199,15065458.7848703,37175025.8657036,297344.56416011,67836389.8305307,3A,MM
Myanmar,Myanmar,1992,EFConsTotGHA,1562146.49489047,1547245.66231068,12393361.6603533,989243.813031203,14454582.3762322,326788.906268611,31273368.9130864,3A,MM
Myanmar,Myanmar,1992,BiocapTotGHA,1562146.49489047,0,14495663.2936232,15210759.1678358,37287111.5019947,300212.334711417,68855892.7930555,3A,MM
Myanmar,Myanmar,1993,EFConsTotGHA,1675516.86878597,1819859.86333922,12001202.0629416,984327.737766361,14042427.4033056,325722.880607856,30849056.8167467,3A,MM
Myanmar,Myanmar,1993,BiocapTotGHA,1675516.86878597,0,14834698.3907223,15174156.6067059,36891058.4747942,299489.915783344,68874920.2567918,3A,MM
Myanmar,Myanmar,1994,EFConsTotGHA,1769900.26780598,2281541.51055032,11637872.7907316,1003266.28289886,13909197.422123,325385.171203152,30927163.4453129,3A,MM
Myanmar,Myanmar,1994,BiocapTotGHA,1769900.26780598,0,15314487.3950862,15160404.6125473,36527660.8836856,287549.807039729,69060002.9661649,3A,MM
Myanmar,Myanmar,1995,EFConsTotGHA,1819307.59659465,2831761.4997459,12631505.748834,896475.583138164,13610841.7021987,323297.081216253,32113189.2117276,3A,MM
Myanmar,Myanmar,1995,BiocapTotGHA,1819307.59659465,0,14981072.957336,15142811.3045841,36130816.6710368,283053.559620288,68357062.0891719,3A,MM
Myanmar,Myanmar,1996,EFConsTotGHA,1903831.14685777,3090220.66821453,14106241.1194357,793313.031263045,14193450.1047856,359203.649486134,34446259.7200428,3A,MM
Myanmar,Myanmar,1996,BiocapTotGHA,1903831.14685777,0,16140142.0759854,15124300.4070284,35700528.1408802,304326.36143463,69173128.1321863,3A,MM
Myanmar,Myanmar,1997,EFConsTotGHA,1946016.69958681,3057105.50270236,13647965.8856787,990617.538245825,14236487.5275322,356853.475326583,34235046.6290724,3A,MM
Myanmar,Myanmar,1997,BiocapTotGHA,1946016.69958681,0,16207127.0420084,15121750.3181723,35245537.0191669,303443.69676403,68823874.7756984,3A,MM
Myanmar,Myanmar,1998,EFConsTotGHA,2064124.58793957,3364207.16749474,13944200.2995724,1043433.45197603,13425922.1216701,338426.682160642,34180314.3108135,3A,MM
Myanmar,Myanmar,1998,BiocapTotGHA,2064124.58793957,0,16308987.2015517,15134833.1412973,34830594.3631714,301210.010355662,68639749.3043157,3A,MM
Myanmar,Myanmar,1999,EFConsTotGHA,2322174.5194228,3968109.14477363,14665468.9372126,1089336.32058685,15008946.8289684,310009.450829941,37364045.2017943,3A,MM
Myanmar,Myanmar,1999,BiocapTotGHA,2322174.5194228,0,16322404.5485677,15153211.6562042,34329301.8539425,269918.649790767,68397011.2279279,3A,MM
Myanmar,Myanmar,2000,EFConsTotGHA,2409416.26586205,4397342.17178806,14760970.6039122,1330390.70170148,15149461.3774374,306785.760167316,38354366.8808685,3A,MM
Myanmar,Myanmar,2000,BiocapTotGHA,2409416.26586205,0,17253015.7400316,15170445.1746855,33857236.5806065,261885.32714678,68951999.0883324,3A,MM
Myanmar,Myanmar,2001,EFConsTotGHA,2595418.50791467,4355860.72701985,14194344.5509253,1448583.68806386,15808175.6283904,294566.430084437,38696949.5323985,3A,MM
Myanmar,Myanmar,2001,BiocapTotGHA,2595418.50791467,0,18135826.4371228,15177481.7615987,33505119.3740527,262006.798787496,69675852.8794763,3A,MM
Myanmar,Myanmar,2002,EFConsTotGHA,2569021.37919233,4041922.13630136,15293070.7483285,1481170.30502011,15562248.6863026,308932.916986422,39256366.1721314,3A,MM
